id_expedicion,codigo_pico,Año,host,Temporada,nombre_Temporada,Pais,Lideres,Exito,motivo_terminacion,altitud,cupo,Muertes,Accidente,Ruta,Fecha,Dia_Mas_Alto
AMAD01105,AMAD,2001,Nepal,1,Primavera,Japon,Haruki Inokuchi,No,Mal Clima,6600,5,0,Desconocido,SW Ridge,2001/03/24,2001/04/05
AMAD01106,AMAD,2001,Nepal,1,Primavera,España,Oscar Cadiach,Sí,Expedicion Completada(Pico Principal),6814,7,0,Desconocido,SW Ridge,2001/04/11,2001/05/03
AMAD01301,AMAD,2001,Nepal,3,Otoño,Reino Unido,Julian Cartwright,No,Expedicion Completada(Pico Principal),6814,8,0,Congelamiento,W Spur-NW Ridge (to 6000m),2001/10/25,2001/11/10
AMAD01302,AMAD,2001,Nepal,3,Otoño,Canada,Claude Berube,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2001/10/23,2001/11/06
AMAD01303,AMAD,2001,Nepal,3,Otoño,Alemania,Paul Pichlmaier,Sí,Expedicion Completada(Pico Principal),6814,10,0,Desconocido,SW Ridge,2001/10/10,2001/10/18
AMAD01304,AMAD,2001,Nepal,3,Otoño,Alemania,Christoph Horester,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2001/09/29,2001/10/12
AMAD01305,AMAD,2001,Nepal,3,Otoño,Estados Unidos,Mike Morris,Sí,Expedicion Completada(Pico Principal),6814,9,0,Heridas Leves,SW Ridge,2001/10/07,2001/10/19
AMAD01306,AMAD,2001,Nepal,3,Otoño,Estados Unidos,Douglas Grady,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2001/10/13,2001/10/24
AMAD01307,AMAD,2001,Nepal,3,Otoño,Alemania,Jochen Haase,Sí,Expedicion Completada(Pico Principal),6814,15,0,Desconocido,SW Ridge,2001/10/05,2001/10/17
AMAD01308,AMAD,2001,Nepal,3,Otoño,Reino Unido,Anthony (Vic) Saunders,Sí,Expedicion Completada(Pico Principal),6814,3,0,Desconocido,SW Ridge,2001/10/26,2001/11/04
AMAD01309,AMAD,2001,Nepal,3,Otoño,Nueva Zelanda,Dean Staples,Sí,Expedicion Completada(Pico Principal),6814,4,0,Congelamiento,SW Ridge,2001/10/21,2001/10/28
AMAD01310,AMAD,2001,Nepal,3,Otoño,Suiza,Richard Bolt,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2001/10/12,2001/10/18
AMAD01311,AMAD,2001,Nepal,3,Otoño,Estados Unidos,Dan Mazur,Sí,Expedicion Completada(Pico Principal),6814,19,0,Enfermedad,SW Ridge,2001/10/09,2001/10/18
AMAD01312,AMAD,2001,Nepal,3,Otoño,Austria,Adolf Bichler,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2001/10/26,2001/10/31
AMAD01313,AMAD,2001,Nepal,3,Otoño,Suiza,Walter Hungerbuehler,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2001/10/28,2001/11/01
AMAD01314,AMAD,2001,Nepal,3,Otoño,Italia,Fabio Iacchini,Sí,Expedicion Completada(Pico Principal),6814,6,0,Heridas Leves,SW Ridge,2001/10/26,2001/11/06
AMAD01315,AMAD,2001,Nepal,3,Otoño,Chequia,Leopold Sulovsky,No,Mal Clima,6100,5,0,Desconocido,SW Ridge,2001/09/18,2001/09/28
AMAD01317,AMAD,2001,Nepal,3,Otoño,Australia,Duncan Chessell,Sí,Expedicion Completada(Pico Principal),6814,6,0,Heridas Leves,SW Ridge,2001/10/24,2001/10/26
AMAD01401,AMAD,2001,Nepal,4,Invierno,Reino Unido,Mac Mackay,Sí,Expedicion Completada(Pico Principal),6814,10,0,Congelamiento,SW Ridge,2001/11/28,2001/12/07
AMAD01402,AMAD,2001,Nepal,4,Invierno,Japon,Susumu Nakamura,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",6500,4,0,Desconocido,SW Ridge,2001/11/28,2001/12/07
AMAD02101,AMAD,2002,Nepal,1,Primavera,Estados Unidos,Fabrizio Zangrilli,No,Mal Clima,6150,3,0,Desconocido,SW Ridge,2002/03/29,2002/04/14
AMAD02102,AMAD,2002,Nepal,1,Primavera,Reino Unido,Mark Watson,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",6500,9,0,Enfermedad,SW Ridge,2002/04/09,2002/04/21
AMAD02103,AMAD,2002,Nepal,1,Primavera,Italia,Hans Kammerlander,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2002/04/12,2002/04/25
AMAD02104,AMAD,2002,Nepal,1,Primavera,España,Nemesio Matalobos,No,"Falta (o pérdida) de suministros, apoyo o equipo",5900,3,0,Enfermedad,NE Ridge/Spur (NZ 2000 rte),2002/04/16,2002/04/25
AMAD02301,AMAD,2002,Nepal,3,Otoño,Austria,Siegfried Wasserbauer,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2002/11/13,2002/11/17
AMAD02302,AMAD,2002,Nepal,3,Otoño,Austria,Sepp Bierbaumer,Sí,Expedicion Completada(Pico Principal),6814,10,0,Heridas Leves,SW Ridge,2002/11/04,2002/11/07
AMAD02303,AMAD,2002,Nepal,3,Otoño,Francia,Frederic Buet,Sí,Expedicion Completada(Pico Principal),6814,13,0,Congelamiento,SW Ridge,2002/10/11,2002/10/20
AMAD02304,AMAD,2002,Nepal,3,Otoño,Austria,Stefan Jungmann,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2002/11/01,2002/11/10
AMAD02305,AMAD,2002,Nepal,3,Otoño,Austria,Markus Raich,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2002/10/19,2002/10/23
AMAD02306,AMAD,2002,Nepal,3,Otoño,Alemania,Michael Waerthl,Sí,Expedicion Completada(Pico Principal),6814,14,0,Desconocido,SW Ridge,2002/10/07,2002/10/20
AMAD02307,AMAD,2002,Nepal,3,Otoño,España,Jordi Camprubi Casas,No,Otro,5900,3,0,Desconocido,SW Ridge,2002/10/14,2002/10/18
AMAD02308,AMAD,2002,Nepal,3,Otoño,Italia,Angelo Giovanetti,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2002/10/29,2002/11/01
AMAD02309,AMAD,2002,Nepal,3,Otoño,Francia,Sebastien Fonteneau,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2002/11/02,2002/11/08
AMAD02310,AMAD,2002,Nepal,3,Otoño,Polonia,Ryszard Pawlowski,Sí,Expedicion Completada(Pico Principal),6814,13,0,Desconocido,SW Ridge,2002/10/25,2002/11/04
AMAD02311,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Damian Benegas,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2002/10/22,2002/10/31
AMAD02312,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Mark Houston,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2002/11/17,2002/11/22
AMAD02313,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Bill Crouse,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2002/10/22,2002/11/02
AMAD02314,AMAD,2002,Nepal,3,Otoño,Italia,Luca Febbraio,Sí,Expedicion Completada(Pico Principal),6814,6,0,Enfermedad,SW Ridge,2002/10/05,2002/10/20
AMAD02315,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Thondup Saari,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2002/10/15,2002/10/23
AMAD02317,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Dave McNally,Sí,Expedicion Completada(Pico Principal),6814,3,0,Heridas Leves,SW Ridge,2002/11/11,2002/11/16
AMAD02318,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Wally Berg,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2002/11/02,2002/11/12
AMAD02319,AMAD,2002,Nepal,3,Otoño,Australia,Duncan Chessell,No,"Enfermedad, mal de altura, agotamiento o congelación.",6000,5,0,Heridas Leves,SW Ridge,2002/10/01,2002/10/05
AMAD02320,AMAD,2002,Nepal,3,Otoño,Reino Unido,Henry Todd,Sí,Expedicion Completada(Pico Principal),6814,20,0,Desconocido,SW Ridge,2002/10/16,2002/10/31
AMAD02321,AMAD,2002,Nepal,3,Otoño,Estados Unidos,Dan Mazur,Sí,Expedicion Completada(Pico Principal),6814,31,0,Caída,SW Ridge,2002/10/04,2002/10/21
AMAD02401,AMAD,2002,Nepal,4,Invierno,Japon,Keiichi Takeuchi,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2002/11/07,2002/12/02
AMAD02402,AMAD,2002,Nepal,4,Invierno,Rusia,Vladimir Belousov,No,"Falta (o pérdida) de suministros, apoyo o equipo",6000,4,0,Enfermedad,SW Ridge,2002/12/28,2003/01/04
AMAD02403,AMAD,2002,Nepal,4,Invierno,Estados Unidos,James Williams,Sí,Expedicion Completada(Pico Principal),6814,9,0,Enfermedad,SW Ridge,2002/11/25,2002/12/04
AMAD02404,AMAD,2002,Nepal,4,Invierno,Reino Unido,Kenton Cool,Sí,Expedicion Completada(Pico Principal),6814,9,0,Congelamiento,SW Ridge,2002/11/23,2002/12/04
AMAD02405,AMAD,2002,Nepal,4,Invierno,Francia,Olivier Besson,Sí,Expedicion Completada(Pico Principal),6814,3,0,Enfermedad,SW Ridge,2002/11/25,2002/11/29
AMAD03101,AMAD,2003,Nepal,1,Primavera,Rusia,Sergei Astakhov,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2003/05/11,2003/05/20
AMAD03102,AMAD,2003,Nepal,1,Primavera,Georgia,Benedict Kashakashvili,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2003/05/09,2003/05/13
AMAD03103,AMAD,2003,Nepal,1,Primavera,Austria,Herbert Wolf,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2003/04/30,2003/05/11
AMAD03104,AMAD,2003,Nepal,1,Primavera,Nueva Zelanda,Dean Staples,No,Mal Clima,6100,5,0,Enfermedad,SW Ridge,2003/04/13,2003/04/29
AMAD03105,AMAD,2003,Nepal,1,Primavera,Suiza,Michael Illien,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2003/05/04,2003/05/10
AMAD03106,AMAD,2003,Nepal,1,Primavera,Alemania,Joachim Jakobi,No,Mal Clima,6450,3,0,Heridas Leves,SW Ridge,2003/04/14,2003/04/21
AMAD03107,AMAD,2003,Nepal,1,Primavera,Estados Unidos,Peter Shelley,Sí,Expedicion Completada(Pico Principal),6814,7,0,Desconocido,SW Ridge,2003/05/10,2003/05/14
AMAD03108,AMAD,2003,Nepal,1,Primavera,Australia,Alan Silva,Sí,Expedicion Completada(Pico Principal),6814,9,0,Heridas Leves,SW Ridge,2003/05/04,2003/05/11
AMAD03301,AMAD,2003,Nepal,3,Otoño,España,Inaki Zuza,No,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,S Face (to 6000m),2003/10/04,2003/10/17
AMAD03302,AMAD,2003,Nepal,3,Otoño,Rusia,Victor Volodin,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2003/11/06,2003/11/12
AMAD03303,AMAD,2003,Nepal,3,Otoño,Reino Unido,Timothy Mosedale,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2003/11/03,2003/11/12
AMAD03304,AMAD,2003,Nepal,3,Otoño,Austria,Paul Hofer,No,Accidente,5800,4,0,Desconocido,SW Ridge,2003/10/02,2003/10/11
AMAD03305,AMAD,2003,Nepal,3,Otoño,Alemania,Matthias Robl,Sí,Expedicion Completada(Pico Principal),6814,7,0,Enfermedad,SW Ridge,2003/10/04,2003/10/17
AMAD03306,AMAD,2003,Nepal,3,Otoño,Polonia,Ryszard Pawlowski,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2003/10/15,2003/10/22
AMAD03307,AMAD,2003,Nepal,3,Otoño,Alemania,Robert Rackl,Sí,Expedicion Completada(Pico Principal),6814,13,1,Caída,SW Ridge,2003/10/06,2003/10/18
AMAD03308,AMAD,2003,Nepal,3,Otoño,Italia,Rudi Schweigkofler,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2003/11/18,2003/11/23
AMAD03309,AMAD,2003,Nepal,3,Otoño,Reino Unido,David Hollinger,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2003/11/19,2003/11/26
AMAD03310,AMAD,2003,Nepal,3,Otoño,Estados Unidos,David Morton,Sí,Expedicion Completada(Pico Principal),6814,6,0,Enfermedad,SW Ridge,2003/11/19,2003/12/01
AMAD03311,AMAD,2003,Nepal,3,Otoño,Nueva Zelanda,Mark Sedon,No,Mal Clima,6200,1,0,Desconocido,SW Ridge,2003/11/03,2003/11/05
AMAD03312,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Park Mun-Sang,Sí,Expedicion Completada(Pico Principal),6814,16,0,Desconocido,SW Ridge,2003/11/03,2003/11/14
AMAD03313,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Lathrop Strang,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2003/11/01,2003/11/11
AMAD03314,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Angela Hawse,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2003/10/27,2003/11/09
AMAD03315,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Larry Boersma,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",5800,2,0,Desconocido,SW Ridge,2003/10/12,2003/10/15
AMAD03316,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Tap Richards,Sí,Expedicion Completada(Pico Principal),6814,7,0,Desconocido,SW Ridge,2003/10/28,2003/11/10
AMAD03317,AMAD,2003,Nepal,3,Otoño,Nueva Zelanda,Michael Roberts,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2003/10/21,2003/11/02
AMAD03318,AMAD,2003,Nepal,3,Otoño,Japon,Ryuseki Hiraoka,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2003/11/02,2003/11/07
AMAD03319,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Todd Passey,Sí,Expedicion Completada(Pico Principal),6814,3,0,Desconocido,SW Ridge,2003/10/08,2003/10/17
AMAD03320,AMAD,2003,Nepal,3,Otoño,Japon,Shomi Suzuki,Sí,Expedicion Completada(Pico Principal),6814,13,0,Desconocido,SW Ridge,2003/10/27,2003/11/08
AMAD03321,AMAD,2003,Nepal,3,Otoño,Nueva Zelanda,Luis Benitez,Sí,Expedicion Completada(Pico Principal),6814,14,0,Heridas Leves,SW Ridge,2003/10/22,2003/11/03
AMAD03322,AMAD,2003,Nepal,3,Otoño,Mexico,Hector Ponce de Leon,Sí,Expedicion Completada(Pico Principal),6814,7,0,Desconocido,SW Ridge,2003/10/02,2003/10/18
AMAD03323,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Casey Henley,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2003/10/19,2003/11/04
AMAD03325,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Scott Gould,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2003/10/05,2003/10/18
AMAD03326,AMAD,2003,Nepal,3,Otoño,Estados Unidos,"Michael Hamill, Justin Marle",Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2003/10/07,2003/10/20
AMAD03327,AMAD,2003,Nepal,3,Otoño,Australia,David Chiew,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2003/10/29,2003/11/01
AMAD03328,AMAD,2003,Nepal,3,Otoño,Estados Unidos,Dan Mazur,Sí,Expedicion Completada(Pico Principal),6814,32,0,Desconocido,SW Ridge,2003/10/07,2003/10/20
AMAD03401,AMAD,2003,Nepal,4,Invierno,Rusia,Viatcheslev Glebov,Sí,Expedicion Completada(Pico Principal),6814,10,0,Heridas Leves,SW Ridge,2004/01/12,2004/01/20
AMAD03402,AMAD,2003,Nepal,4,Invierno,Reino Unido,Rick Marchant,Sí,Expedicion Completada(Pico Principal),6814,10,0,Desconocido,SW Ridge,2003/11/28,2003/12/06
AMAD03403,AMAD,2003,Nepal,4,Invierno,Corea del Sur,Kwon Soon-Doo,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2003/12/10,2003/12/20
AMAD04101,AMAD,2004,Nepal,1,Primavera,Australia,Jarlath Weingott,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",6700,7,0,Heridas Leves,SW Ridge,2004/03/24,2004/03/30
AMAD04102,AMAD,2004,Nepal,1,Primavera,Estados Unidos,Larry Boersma,No,"Falta (o pérdida) de suministros, apoyo o equipo",6100,3,0,Desconocido,SW Ridge,2004/04/10,2004/04/14
AMAD04103,AMAD,2004,Nepal,1,Primavera,Reino Unido,Adrian Hayes,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2004/04/09,2004/04/21
AMAD04104,AMAD,2004,Nepal,1,Primavera,Estados Unidos,Matt Szundy,No,Mal Clima,6200,3,0,Desconocido,SW Ridge,2004/04/17,2004/04/21
AMAD04105,AMAD,2004,Nepal,1,Primavera,España,Juanito Oiarzabal,Sí,Expedicion Completada(Pico Principal),6814,5,0,Desconocido,SW Ridge,2004/04/05,2004/04/14
AMAD04106,AMAD,2004,Nepal,1,Primavera,Suecia,Lars Svens,No,Mal Clima,6200,2,0,Desconocido,SW Ridge,2004/04/17,2004/04/22
AMAD04107,AMAD,2004,Nepal,1,Primavera,Canada,Bryce Brown,No,Accidente,5750,2,0,Desconocido,W Face,2004/05/04,2004/05/08
AMAD04108,AMAD,2004,Nepal,1,Primavera,Reino Unidoraine,Vladimir Gorbach,No,Mal Clima,6300,4,0,Desconocido,SW Ridge,2004/04/23,2004/05/01
AMAD04109,AMAD,2004,Nepal,1,Primavera,Portugal,Joao Garcia,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2004/05/07,2004/05/14
AMAD04110,AMAD,2004,Nepal,1,Primavera,Rusia,Victor Kozlov,Sí,Expedicion Completada(Pico Principal),6814,21,0,Desconocido,SW Ridge,2004/03/07,2004/03/14
AMAD04301,AMAD,2004,Nepal,3,Otoño,Canada,Vincent Waters,Sí,Expedicion Completada(Pico Principal),6814,1,0,Desconocido,SW Ridge,2004/10/09,2004/10/19
