id_pico,descripcion,id_localizacion,abierto,altura,cambio_trekking,sin_aprobacion,año_de_cambio,estado,restricciones,codigo_pico
64,Changtse,56,0,7583,0,1,0,Escalado,Pico entereamente en China,CTSE
65,Danga,57,1,6355,0,0,0,Escalado,abierto en 2002,DANG
66,Danphe Shail,58,1,6103,0,0,0,Escalado,abierto en 2002,DANS
67,Dhaulagari,59,1,6638,0,0,0,Sin escalar,abierto en 2002,DGAR
68,Dhaulagiri I,60,1,8167,0,0,0,Escalado,No hay,DHA1
69,Dhaulagiri II,61,1,7751,0,0,0,Escalado,No hay,DHA2
70,Dhaulagiri III,62,1,7715,0,0,0,Escalado,No hay,DHA3
71,Dhaulagiri IV,63,1,7661,0,0,0,Escalado,No hay,DHA4
72,Dhaulagiri V,64,1,7618,0,0,0,Escalado,No hay,DHA5
73,Dhaulagiri VI,65,1,7268,0,0,0,Escalado,No hay,DHA6
74,Dhampus,66,1,6012,0,0,0,Escalado,No hay,DHAM
75,Dhechyan Khang,67,1,6019,0,0,0,Escalado,abierto en 2014,DHEC
76,Dingjung North,68,1,6249,0,0,0,Escalado,abierto en 2014,DING
77,Dingjung Ri,68,1,6196,0,0,0,Escalado,abierto en 2002,DINS
78,Dogari,69,1,6536,0,0,0,Sin escalar,abierto en 2003,DOGA
79,Dolma Khang,70,1,6332,0,0,0,Escalado,abierto en 2014,DOLM
80,Dome Kang,71,1,7264,0,0,0,Escalado,abierto en 2002,DOMK
81,Domo,72,0,7447,0,1,0,Escalado,No hay,DOMO
82,Dorje Lakpa II,73,0,6593,0,1,0,Escalado,No hay,DOR2
83,Dorje Lhakpa,74,1,6966,0,0,0,Escalado,No hay,DORJ
84,Dragmorpa Ri,75,1,6185,0,0,0,Escalado,No hay,DRAG
85,Drangnag Ri,76,1,6757,0,0,0,Escalado,No hay,DRAN
86,Drohmo,77,1,6881,0,0,0,Sin escalar,abierto en 1997,DROM
87,Dudh Kundali,78,1,6045,0,0,0,Escalado,No hay,DUDH
88,Dwijen Himal,79,1,6169,0,0,0,Sin escalar,abierto en 2014,DWIJ
89,Dzanye II,80,1,6318,0,0,0,Escalado,abierto en 2014,DZA2
90,Dzanye,81,1,6581,0,0,0,Escalado,No hay,DZAN
91,Dzasampatse,82,0,6295,0,1,0,Escalado,No hay,DZAS
92,Ek Rate Danda,83,1,6213,0,0,0,Sin escalar,abierto en 2002,EKRA
93,Everest,2,1,8849,0,0,0,Escalado,No hay,EVER
94,Fang,84,1,7647,0,0,0,Escalado,No hay,FANG
95,Firnkopf,85,1,6730,0,0,0,Sin escalar,No hay,FIRN
96,Firnkopf West,86,1,6745,0,0,0,Escalado,No hay,FIRW
97,Futi Himal,87,0,6425,1,1,0,Escalado,No hay,FUTI
98,Gama Peak,88,0,7187,0,1,0,Escalado,No hay,GAMA
99,Ganesh I,89,1,7422,0,0,0,Escalado,No hay,GAN1
100,Ganesh II,90,1,7118,0,0,0,Escalado,No hay,GAN2
101,Ganesh III,91,1,7043,0,0,0,Escalado,No hay,GAN3
102,Ganesh IV,92,1,7104,0,0,0,Escalado,No hay,GAN4
103,Ganesh V,93,1,6770,0,0,0,Escalado,No hay,GAN5
104,Ganesh VI,94,1,6908,0,0,0,Escalado,abierto en 2002,GAN6
105,Ganesh VII,95,0,6350,0,1,0,Sin escalar,No hay,GAN7
106,Ganchenpo,96,1,6378,0,0,0,Escalado,No hay,GANC
107,Gandharva Chuli,97,1,6248,0,0,0,Escalado,No hay,GAND
108,Gangapurna,98,1,7455,0,0,0,Escalado,No hay,GANG
109,Gangapurna West,99,1,7140,0,0,0,Sin escalar,abierto en 2014,GANW
110,Gaugiri,100,1,6110,0,0,0,Escalado,abierto en 2002,GAUG
111,Gaurishankar,101,1,7135,0,0,0,Escalado,No hay,GAUR
112,Gaurishankar South,102,1,7010,0,0,0,Escalado,abierto en 2014,GAUS
113,Gave Ding,103,0,6581,0,1,0,Escalado,Requiere permiso de Lachama Chuli,GDNG
114,Ghhanyala Hies,104,1,6744,0,0,0,Sin escalar,abierto en 2002,GHAN
115,Ghenge Liru,105,1,6596,0,0,0,Escalado,abierto en 2002,GHEN
116,Ghustang North,106,1,6529,0,0,0,Escalado,abierto en 2003,GHUN
117,Ghustang South,107,1,6465,0,0,0,Escalado,abierto en 2003,GHUS
118,Ghyuthumba Main,78,0,5806,0,1,0,Escalado,No hay,GHYM
119,Ghyun Himal I,108,1,6110,0,0,0,Sin escalar,abierto en 2014,GHYN
120,Gimmigela Chuli East,109,0,7007,0,1,0,Escalado,Requiere permiso de Gimmigela Chuli,GIME
121,Gimmigela Chuli,109,1,7350,0,0,0,Escalado,No hay,GIMM
122,Glacier Dome,110,1,7168,0,0,0,Escalado,No hay,GLAC
123,Gojung,111,0,6310,0,1,0,Escalado,No hay,GOJN
124,Goldum Peak,112,1,6632,0,0,0,Escalado,abierto en 2014,GOLD
125,Gorakh Himal,113,1,6198,0,0,0,Sin escalar,abierto en 2002,GORH
126,Gorakh Khang,114,1,6254,0,0,0,Sin escalar,abierto en 2014,GORK
127,Guras,115,1,6744,0,0,0,Sin escalar,abierto en 2014,GURA
128,Gurja Himal,116,1,7193,0,0,0,Escalado,No hay,GURJ
129,Gurkarpo Ri,117,1,6889,0,0,0,Escalado,No hay,GURK
130,Gyachung Kang,118,1,7861,0,0,0,Escalado,No hay,GYAC
131,Gyajikang,119,1,7074,0,0,0,Escalado,No hay,GYAJ
132,Gyala,120,1,6363,0,0,0,Sin escalar,abierto en 2014,GYLA
133,Gyalzen Peak,121,1,6151,0,0,0,Escalado,No hay,GYLZ
134,Hungchhi,122,1,7029,0,0,0,Escalado,abierto en 2001,HCHI
135,Herzog Peak,123,1,7555,0,0,0,Escalado,abierto en 2014,HERZ
136,Himalchuli East,124,1,7893,0,0,0,Escalado,No hay,HIME
137,Himjung,125,1,7092,0,0,20,Escalado,abierto en 2002,HIMJ
138,Himlung Himal,126,1,7126,0,0,0,Escalado,No hay,HIML
139,Himalchuli North,127,1,7331,0,0,0,Escalado,No hay,HIMN
140,Himalchuli West,128,1,7540,0,0,0,Escalado,No hay,HIMW
141,Hiunchuli,129,0,6434,1,0,1978,Escalado,No hay,HIUP
142,Himlung East,130,1,6932,0,0,0,Escalado,abierto en 2014,HMLE
143,Hongku Chuli,131,1,6833,0,0,0,Sin escalar,abierto en 2013?,HNKU
144,Hongde,132,1,6556,0,0,0,Escalado,No hay,HONG
145,Hongku,133,1,6764,0,0,0,Escalado,abierto en 2003,HONK
146,Hulang Go,134,1,6687,0,0,0,Escalado,abierto en 2014,HUGO
147,Hunku,135,0,6119,0,1,0,Escalado,"abierto en 2002, delisted in 2013?",HUNK
148,Imjatse,49,0,6165,0,0,1978,Escalado,No hay,IMJA
149,Jabou Ri,136,1,6166,0,0,0,Escalado,abierto en 2014,JABR
150,Jagdula,137,1,5761,0,0,0,Escalado,No hay,JAGD
151,Jannu East,138,1,7460,0,0,0,Sin escalar,Requires Jannu permit,JANE
152,Janak Chuli,139,1,7041,0,0,0,Escalado,abierto en 2002,JANK
153,Jannu,138,1,7711,0,0,0,Escalado,No hay,JANU
154,Jarkya,140,1,6473,0,0,0,Sin escalar,abierto en 2014,JARK
155,Jasemba Goth,141,1,6730,0,0,0,Escalado,abierto en 2014,JASG
156,Jethi Bahurani,142,1,6850,0,0,0,Escalado,No hay,JETH
157,Jinjang,52,1,6111,0,0,0,Escalado,abierto en 2002,JING
158,Jobo Rinjang,143,1,6778,0,0,0,Escalado,abierto en 2002,JOBO
159,Jomsom Himal,144,1,6335,0,0,0,Escalado,abierto en 2002,JOMS
160,Jongsang,145,1,7462,0,0,0,Escalado,No hay,JONG
161,Jugal 1,146,1,6591,0,0,0,Escalado,abierto en 2023,JUG1
162,Jugal 2,147,1,6518,0,0,0,Sin escalar,abierto en 2023,JUG2
163,Jugal 3,148,1,6184,0,0,0,Escalado,abierto en 2023,JUG3
164,Jugal 4,149,1,5936,0,0,0,Sin escalar,abierto en 2023,JUG4
165,Jugal 5,150,1,5922,0,0,0,Escalado,abierto en 2023,JUG5
166,Junction Peak,151,0,7133,0,1,0,Sin escalar,No hay,JUNC
167,Jyachhung,152,1,6388,0,0,0,Sin escalar,abierto en 2014,JYAC
168,Kabru Dome,153,0,6600,0,1,0,Escalado,No hay,KABD
169,Kabru North,154,0,7338,0,1,0,Escalado,No hay,KABN
170,Kabru Main,155,1,7412,0,0,0,Escalado,abierto en 2014,KABR
171,Kabru South,156,1,7318,0,0,0,Escalado,abierto en 2003,KABS
172,Kagmara I,157,1,5978,0,0,0,Escalado,No hay,KAG1
173,Kanta Gaton,158,1,5910,0,0,0,Escalado,abierto en 2002,KAGA
174,Kaipuchonam,159,1,6329,0,0,0,Sin escalar,abierto en 2014,KAIP
175,Kang Kuru,160,0,6344,0,1,0,Escalado,No hay,KAKU
176,Kali Himal,161,1,6985,0,0,0,Escalado,abierto en 2002,KALI
177,Kande Hiunchuli North  I,162,0,6521,0,1,0,Sin escalar,No hay,KAN1
178,Kande Hiunchuli North  II,162,0,6471,0,1,0,Escalado,No hay,KAN2
179,Kangbachen,163,1,7902,0,0,0,Escalado,No hay,KANB
180,Kangchenjunga Central,164,1,8473,0,0,0,Escalado,No hay,KANC
181,Kande Hiunchuli,165,1,6627,0,0,0,Escalado,No hay,KAND
182,Kangchenjunga,166,1,8586,0,0,0,Escalado,No hay,KANG
183,Kangchenjunga North,167,1,7938,0,0,0,Sin escalar,abierto en 2014,KANN
184,Kangchenjunga South,166,1,8476,0,0,0,Escalado,No hay,KANS
185,Kanti Himal,168,1,6850,0,0,0,Escalado,abierto en 2002,KANT
186,Kaptang,169,1,5965,0,0,0,Escalado,abierto en 2002,KAPT
187,Karko,170,1,6015,0,0,0,Sin escalar,abierto en 2002,KARK
188,Karsang Khang,171,1,6476,0,0,0,Sin escalar,abierto en 2014,KARS
189,Karyolung,172,1,6530,0,0,0,Escalado,No hay,KARY
190,Kasi Dalpha,24,1,6386,0,0,0,Sin escalar,abierto en 2014,KASI
191,Kangbachen East,173,1,7780,0,0,0,Sin escalar,abierto en 2014,KBNE
192,Konabon,174,1,6570,0,0,0,Sin escalar,abierto en 2003,KBON
193,Kangchung Nup,175,0,6043,0,1,0,Escalado,No hay,KCHN
194,Kangchung Shar,175,1,6063,0,0,0,Escalado,abierto en 2014,KCHS
195,Khangri Shar,176,1,6792,0,0,0,Sin escalar,abierto en 2002,KGRI
196,Khangri West,176,1,6658,0,0,0,Sin escalar,abierto en 2002,KGRW
197,Kang Guru,119,1,6981,0,0,0,Escalado,No hay,KGUR
198,Khamjung,177,1,6759,0,0,0,Escalado,abierto en 2002,KHAM
199,Khatang,178,1,6790,0,0,0,Escalado,No hay,KHAT
200,Khayang,179,1,6186,0,0,0,Sin escalar,abierto en 2003,KHAY
201,Khung,180,1,6024,0,0,0,Sin escalar,abierto en 2014,KHNG
202,Khongma Tse,181,0,5798,1,0,1978,Escalado,No hay,KHON
203,Khumbutse,182,1,6639,0,0,0,Escalado,No hay,KHUM
204,Kimshung,183,0,6781,0,1,0,Sin escalar,No hay,KIMS
205,Kirat Chuli,184,1,7362,0,0,0,Escalado,No hay,KIRA
206,Kanjeralwa,185,1,6612,0,0,0,Escalado,No hay,KJER
207,Kanjiroba North,186,1,6858,0,0,0,Sin escalar,abierto en 2014,KJRN
208,Kanjiroba South,186,1,6883,0,0,0,Escalado,Un permiso de Kanjiroba's north and south summits,KJRS
209,Kang Nagchugo,16,1,6737,0,0,0,Escalado,abierto en 2002,KNAG
210,Kanti Himal Churau,187,0,6419,0,1,0,Sin escalar,No hay,KNTC
211,Kanti Himal East,187,1,6516,0,0,0,Sin escalar,abierto en 2014,KNTE
212,Kogi Khang North,188,1,6275,0,0,0,Sin escalar,abierto en 2014,KOGI
213,Kojichuwa Chuli,189,1,6439,0,0,0,Escalado,abierto en 2003,KOJI
214,Kojichuwa South,190,1,6264,0,0,0,Sin escalar,abierto en 2014,KOJS
215,Korlang Pari Tippa,191,1,5738,0,0,0,Sin escalar,abierto en 2014,KORL
216,Kotang,192,1,6148,0,0,0,Escalado,No hay,KOTA
217,Kangtega,193,1,6783,0,0,0,Escalado,No hay,KTEG
218,Kangtokal,194,1,6294,0,0,0,Escalado,abierto en 1997,KTOK
219,Kangtsune,195,0,6444,0,1,0,Sin escalar,No hay,KTSU
220,Khatung Khang,196,1,6484,0,0,0,Escalado,abierto en 2002,KTUN
221,Kumlung,197,1,6355,0,0,0,Escalado,abierto en 2002,KUML
222,Kusum Kanguru,198,0,6370,1,0,1978,Escalado,No hay,KUSU
223,Kwangde,199,0,6186,1,0,1978,Escalado,No hay,KWAN
224,Kyabura,200,1,6466,0,0,0,Escalado,abierto en 2002,KYAB
225,Kyashar,201,1,6770,0,0,0,Escalado,abierto en 2002,KYAS
226,Kyazo Ri,202,0,6151,1,0,2002,Escalado,abierto en 2002 as trekking peak,KYAZ
227,Kyungka Ri 1,203,1,6599,0,0,0,Escalado,abierto en 2003,KYR1
228,Kyungka Ri 2,204,1,6506,0,0,0,Escalado,abierto en 2003,KYR2
229,Lamjung Himal,205,1,6983,0,0,0,Escalado,No hay,LAMJ
230,Lampo,206,0,6648,0,1,0,Sin escalar,No hay,LAMP
231,Langtang Lirung,207,1,7227,0,0,0,Escalado,No hay,LANG
232,Langtang Ri,208,1,7205,0,0,0,Escalado,No hay,LANR
233,Langtang Yubra,209,0,6048,1,0,0,Escalado,abierto en 2016,LANY
234,Larkya Peak,210,0,6416,1,0,0,Escalado,No hay,LARK
235,Lashar II,211,1,6803,0,0,0,Sin escalar,abierto en 2002,LAS2
236,Lasa,152,1,6189,0,0,0,Sin escalar,abierto en 2014,LASA
237,Lashar I,212,1,6842,0,0,0,Escalado,abierto en 2002,LASH
238,Lachama Chuli,213,1,6721,0,0,0,Escalado,abierto en 2003,LCHA
239,Lachama North,103,1,6628,0,0,0,Sin escalar,abierto en 2014,LCHN
240,Langdak,214,1,6220,0,0,0,Escalado,abierto en 2014,LDAK
241,Langdung,215,1,6326,0,0,0,Escalado,abierto en 2014,LDNG
242,Leonpo Gang East,216,1,6733,0,0,0,Escalado,abierto en 2014,LEOE
243,Leonpo Gang,217,1,6979,0,0,0,Escalado,No hay,LEON
244,Lha Shamma,218,1,6412,0,0,0,Escalado,abierto en 2014,LHAS
245,Lhayul Peak,219,1,6395,0,0,0,Sin escalar,abierto en 2002,LHAY
246,Lhotse Middle,220,1,8410,0,0,0,Escalado,abierto en 2001,LHOM
247,Lhotse,2,1,8516,0,0,0,Escalado,No hay,LHOT
248,Linkhu Chuli Shar,221,1,6719,0,0,0,Escalado,abierto en 2003,LIK1
249,Linkhu Chuli Nup,222,1,6659,0,0,0,Escalado,abierto en 2003,LIK2
250,Lingtren,223,1,6713,0,0,0,Escalado,abierto en 2002,LING
251,Langmoche Ri,224,1,6552,0,0,0,Escalado,abierto en 2002,LMOC
252,Lhonak,225,1,6070,0,0,0,Sin escalar,abierto en 2014,LNAK
253,Langchung Khang,226,1,6786,0,0,0,Sin escalar,abierto en 2002,LNGK
254,Langju,227,1,6426,0,0,0,Escalado,abierto en 2014,LNJU
255,Lunchhung Kamo East,228,0,6024,0,1,0,Escalado,No hay,LNKE
256,Langpo,229,1,6965,0,0,0,Escalado,No hay,LNPO
257,Langpo South,230,0,6857,0,1,0,Escalado,No hay,LNPS
258,Lobuche East,231,0,6119,1,0,1978,Escalado,No hay,LOBE
259,Lobuche West,231,0,6135,1,0,2002,Escalado,Converted to trekking peak in 2002,LOBW
260,Lungsampa,232,1,6500,0,0,0,Escalado,abierto en 2002,LSAM
261,Lhotse Shar,233,1,8382,0,0,0,Escalado,No hay,LSHR
262,Langshisa Ri,234,0,6412,1,0,2002,Escalado,Converted to trekking peak in 2002,LSIS
263,Lugula,235,1,6899,0,0,0,Escalado,abierto en 2014,LUGU
264,Lunag II,143,0,6812,0,1,0,Escalado,Requiere permiso de Jobo Rinjang,LUN2
265,Lungchhung,180,1,6043,0,0,0,Sin escalar,abierto en 2014,LUNG
266,Lunag Ri,236,0,6895,0,1,0,Sin escalar,Requiere permiso de Jobo Rinjang,LUNR
267,Lunag West,237,0,6492,0,1,0,Escalado,Requiere permiso de Jobo Rinjang,LUNW
268,Luza,202,1,5710,0,0,0,Escalado,abierto en 2002,LUZA
269,Machhapuchhare,238,0,6993,0,1,0,Sin escalar,Closed,MACH
270,Makalu II,239,1,7678,0,0,0,Escalado,No hay,MAK2
271,Makalu,240,1,8485,0,0,0,Escalado,No hay,MAKA
272,Malanphulan,241,1,6573,0,0,0,Escalado,abierto en 2014,MALA
273,Manaslu,242,1,8163,0,0,0,Escalado,No hay,MANA
274,Manaslu North,243,1,6994,0,0,0,Escalado,No hay,MANN
275,Manapathi,244,1,6380,0,0,0,Escalado,No hay,MANP
276,Mardi Himal,245,0,5553,1,0,1978,Escalado,No hay,MARD
277,Mariyang,246,1,6528,0,0,0,Escalado,abierto en 2003,MARI
278,Mariyang West,247,1,6455,0,0,0,Sin escalar,abierto en 2014,MARW
279,Matathumba,78,0,5767,0,1,0,Escalado,No hay,MATA
280,Mayonthang Kang,248,1,6449,0,0,0,Sin escalar,abierto en 2014,MAYT
281,Mera Peak,249,0,6470,1,0,1978,Escalado,No hay,MERA
282,Merra,250,1,6334,0,0,0,Escalado,abierto en 2002,MERR
283,Mera South,251,1,6064,0,0,0,Sin escalar,abierto en 2002,MERS
284,Metalung,252,0,5608,0,1,0,Escalado,No hay,META
285,Mingbo Ri,253,0,6207,0,1,0,Sin escalar,No hay,MING
286,Mansail,254,1,6235,0,0,0,Escalado,abierto en 2014,MNSL
287,Mansail South,255,1,6248,0,0,0,Sin escalar,abierto en 2014,MNSS
288,Mojca,256,1,6024,0,0,0,Escalado,abierto en 2002,MOJC
289,Manapathi NE,257,0,6384,0,1,0,Escalado,No hay,MPNE
290,Mukut Himal,258,1,6087,0,0,0,Escalado,abierto en 2014,MUKT
291,Mustang Peak,259,0,6229,0,1,0,Escalado,No hay,MUPK
292,Mustang Himal,255,1,6195,0,0,0,Escalado,abierto en 2014,MUST
293,Myagdi Matha,260,0,6273,0,1,0,Sin escalar,No hay,MYAG
294,Nangpai Gosum I,261,1,7321,0,0,0,Escalado,abierto en 2002,NAG1
295,Nangpai Gosum II,261,1,7287,0,0,0,Sin escalar,abierto en 2002,NAG2
296,Nalakankar North,262,1,6062,0,0,0,Escalado,No hay,NALA
297,Nalakankar South,262,0,6024,0,1,0,Escalado,No hay,NALS
298,Nampa II,263,1,6585,0,0,0,Sin escalar,abierto en 2002,NAM2
299,Nampa III,264,1,6611,0,0,0,Sin escalar,abierto en 2002,NAM3
300,Nampa,265,1,6729,0,0,0,Escalado,No hay,NAMP
301,Nampa South,266,1,6130,0,0,0,Sin escalar,abierto en 2002,NAMS
302,Nangamari II,267,1,6209,0,0,0,Escalado,No hay,NAN2
303,Nangamari I,268,1,6547,0,0,0,Escalado,abierto en 2003,NANG
304,Naulekh,269,1,6340,0,0,0,Escalado,abierto en 2002,NAUL
305,Naya Kanga,270,0,5863,1,0,1978,Escalado,No hay,NAYA
306,Nemjung,271,1,7140,0,0,0,Escalado,No hay,NEMJ
307,Nepal Peak,184,1,7177,0,0,0,Escalado,No hay,NEPA
308,Nepal Gap Peak,272,1,7007,0,0,0,Sin escalar,abierto en 2014,NGAP
309,Ngojumba Kang II,273,1,7743,0,0,0,Escalado,No hay,NGO2
310,Ngojumba Kang III,273,1,7681,0,0,0,Sin escalar,abierto en 2014 as Hillary Peak,NGO3
311,Nagoru Far East,274,0,6145,0,1,0,Escalado,No hay,NGOF
312,Ngojumba Kang I,273,1,7916,0,0,0,Escalado,abierto en 2014 as Tenzing Peak,NGOJ
313,Nagoru,274,0,6165,0,1,0,Escalado,No hay,NGOR
314,Nilgiri Central,275,1,6940,0,0,0,Escalado,No hay,NILC
315,Nilgiri East,276,0,6698,0,1,0,Escalado,No hay,NILE
316,Nilgiri North,275,1,7061,0,0,0,Escalado,No hay,NILN
317,Nilgiri South,275,1,6839,0,0,0,Escalado,No hay,NILS
318,Norbu Kang,158,1,6085,0,0,0,Escalado,abierto en 2002,NORB
319,Narphu,277,1,5921,0,0,0,Escalado,No hay,NPHU
320,Nirekha,278,0,6159,1,0,2002,Escalado,abierto en 2002 as trekking peak,NREK
321,Numbur,279,1,6958,0,0,0,Escalado,No hay,NUMB
322,Numri,280,1,6635,0,0,0,Escalado,abierto en 2002,NUMR
323,Nuptse East I,281,1,7795,0,0,0,Escalado,Requires permit for Annapurna I,NUPE
324,Nupche Kang,282,1,6576,0,0,0,Escalado,abierto en 2014,NUPK
325,Nup La Kang,283,1,6861,0,0,0,Escalado,abierto en 2014,NUPL
326,Nuptse,284,1,7864,0,0,0,Escalado,No hay,NUPT
327,Nuptse West II,285,1,7732,0,0,0,Escalado,Requiere permiso de Nuptse,NUPW
328,Ohmi Kangri,286,1,6839,0,0,0,Escalado,No hay,OHMI
329,Ombigaichen,287,0,6340,1,0,2002,Escalado,abierto en 2002 as trekking peak,OMBG
330,Ombak Himal,288,0,6300,0,1,0,Sin escalar,No hay,OMBK
331,Omitso Go,289,1,6332,0,0,0,Escalado,abierto en 2014,OMIT
332,Omoga Ri Chang,290,0,6070,0,1,0,Sin escalar,No hay,OMRC
333,Paldor,291,0,5903,1,0,1978,Escalado,No hay,PALD
334,Pama Himal,292,1,6300,0,0,0,Sin escalar,abierto en 2014,PAMA
335,Panpoche 1,293,1,6620,0,0,0,Escalado,abierto en 2003,PAN1
336,Panpoche 2,293,1,6504,0,0,0,Escalado,abierto en 2003,PAN2
337,Panbari,294,1,6905,0,0,0,Escalado,abierto en 2002,PANB
338,Pandra,295,1,6670,0,0,0,Escalado,abierto en 2002,PAND
339,Pangbuk Ri,296,1,6625,0,0,0,Escalado,abierto en 2002,PANG
340,Pangbuk North,297,0,6478,0,1,0,Escalado,No hay,PANN
341,Panalotapa,298,1,6687,0,0,0,Escalado,abierto en 2003,PANT
342,Parchamo,299,0,6279,1,0,1978,Escalado,No hay,PARC
343,Pasang Lhamu Chuli,300,1,7350,0,0,0,Escalado,No hay,PASA
344,Pashuwo,301,1,6177,0,0,0,Sin escalar,abierto en 2003,PASH
345,Patrasi Himal,162,1,6450,0,0,0,Escalado,No hay,PATR
346,Pawar Central,302,0,6621,0,1,0,Escalado,No hay,PAWR
347,Pabuk Kang,303,1,6244,0,0,0,Sin escalar,abierto en 2003,PBUK
348,Pemthang Karpo Ri,304,1,6865,0,0,0,Escalado,abierto en 2014,PEMK
349,Pemthang Ri,305,0,6743,0,1,0,Sin escalar,No hay,PEMR
